producto,texto_feedback,categoria,severidad,producto_afectado,justificacion
Sofacama Multifuncional Houston Trigo,"Buen producto, pero deberían ofrecer financiación directa o pagos a cuotas sin tarjeta de crédito. Casi no logro comprarlo porque no manejo tarjeta. Un convenio con Addi o Sistecrédito ayudaría mucho.",Sugerencia de mejora en opciones de pago,3,Sofacama Multifuncional Houston Trigo,"El feedback expresa una sugerencia clara para mejorar las opciones de pago, indicando que la falta de financiación directa casi impide la compra. La severidad es media porque no es un defecto del producto sino una limitación en el proceso de compra que afecta la accesibilidad. La cita textual captura exactamente la queja y sugerencia del cliente."
Base Cama Sion Doble,"Buen día. La base cama que me entregaron ayer huele muy fuerte a pegante/laca, me dio dolor de cabeza y tuve que sacarla al balcón. ¿Es normal? ¿Cuánto dura ese olor? ¿No es tóxico para un bebé?",Calidad del producto,4,Base Cama Sion Doble,"El feedback reporta un olor fuerte a pegante/laca que causa dolor de cabeza y requiere sacar el producto al balcón, indicando un problema de calidad en los materiales o proceso de fabricación. La severidad es alta (4) por el impacto en la salud (dolor de cabeza) y la preocupación por toxicidad para un bebé, lo que puede generar reclamos o devoluciones. La categoría es 'Calidad del producto' porque el defecto es inherente al producto y no de servicio o logística."
Mesa Comedor Sion Rectangular,"Pésima experiencia. La mesa llegó rayada, pedí el cambio y la segunda llegó con el mismo tipo de rayón en la cubierta. Claramente es un problema de empaque o de bodega. Dos meses perdidos en este proceso.",Calidad del producto,4,Mesa Comedor Sion Rectangular,"El feedback describe un defecto físico recurrente (rayones) en el producto, lo que indica un problema de calidad. La severidad es alta (4) porque implica falla en el control de calidad y pérdida de tiempo para el cliente. La cita textual captura la queja principal. La confianza es alta porque el texto es claro y específico sobre el problema."
Puff Olive Arena Calabria Marfil,"El puff está bien. La compra fue fácil. Me hubiera gustado más información sobre cómo limpiar la tela Calabria, no venía ninguna guía de cuidado.",Falta de información sobre cuidado del producto,3,Puff Olive Arena Calabria Marfil,"El cliente expresa claramente que el producto no incluye una guía de cuidado para la tela Calabria, lo que indica una falta de información postventa. La severidad es media (3) porque aunque no es un defecto funcional, afecta la experiencia de uso y mantenimiento del producto."
Silla De Terraza Olive Negro,Pedí 6 sillas negras de terraza para mi restaurante y me llegaron 4 negras y 2 crema. Necesito el cambio urgente porque inauguro el sábado. Además quisiera saber si manejan precios al por mayor para negocios.,Logística y Envíos,5,Silla De Terraza Olive Negro,"El feedback indica un error grave en el envío (productos incorrectos) que afecta directamente la operación del cliente (inauguración de restaurante), lo que requiere atención inmediata. La categoría es Logística y Envíos por el error de surtido, y la severidad es máxima (5) por la urgencia y el impacto comercial."
Silla Reclinable Coral Houston beige,"Cómoda la silla, mi esposo la usa todos los días. Le quito una estrella porque pesa muchísimo y entre dos personas apenas pudimos moverla para limpiar debajo.",Peso excesivo,2,Silla Reclinable Coral Houston beige,"El feedback menciona explícitamente que la silla pesa mucho y que es difícil de mover incluso entre dos personas, lo que indica un problema de peso excesivo que afecta la usabilidad y limpieza. La severidad es baja (2) porque no es un defecto funcional crítico, pero sí una molestia significativa para el usuario."
Cama Nicho Jenny Sencilla Blanco Frente Nuez,Sugerencia: las camas nicho para niños deberían incluir opción de barandas de seguridad y cajones inferiores de almacenamiento. Tocó comprar las barandas por aparte en otra tienda y no combinan.,Sugerencia de producto,2,Cama Nicho Jenny Sencilla Blanco Frente Nuez,"El feedback es una sugerencia explícita para mejorar el producto (agregar barandas y cajones), lo que indica una oportunidad de mejora. La severidad es media (2) porque no es un defecto crítico ni una queja de funcionalidad, pero afecta la experiencia del cliente al tener que comprar accesorios incompatibles. El producto afectado se menciona claramente en el texto y la fuente."
Combo Hogar Mérida Arena Ivory,"Hola, me cobraron dos veces el combo Mérida en la tarjeta. En el extracto aparecen dos cargos de $4.990.000 del mismo día. Solo hice una compra. Necesito la reversión de uno de los cargos urgente, es muchísima plata.",Problema de facturación,5,Combo Hogar Mérida Arena Ivory,"El cliente reporta un doble cobro no autorizado de un monto elevado ($4.990.000) en el producto Combo Hogar Mérida Arena Ivory, solicitando reversión urgente. Esto corresponde a un problema de facturación con severidad máxima (5) por el impacto financiero significativo y la urgencia explícita."
Silla De Terraza Olive Ivory,"Compré las Olive ivory para el balcón y quedaron espectaculares. Livianas, fáciles de limpiar y muy cómodas sin cojín. La mejor compra del año para mi apartamento.",Positivo,0,Silla De Terraza Olive Ivory,"El feedback es una reseña positiva con calificación 5, destacando características favorables del producto como ligereza, facilidad de limpieza y comodidad. No hay quejas ni problemas, por lo que no aplica severidad negativa."
Mesa De Noche Sion Arena,"Decepcionada. La mesa llegó a los 25 días, nadie respondía en servicio al cliente y cuando llegó el cajón venía descuadrado. El producto final es bonito pero el proceso fue un dolor de cabeza completo.",Problemas de entrega y calidad,4,Mesa De Noche Sion Arena,"El feedback menciona tres problemas clave: retraso en la entrega (25 días), falta de respuesta del servicio al cliente, y un defecto de calidad (cajón descuadrado). La severidad es alta (4) porque combina demora, mala atención y producto defectuoso, lo que genera una experiencia muy negativa. La cita textual resume los problemas principales."
Sofá Modular Mini Santorini Verdi Gris,Quiero comprar un módulo adicional para mi Santorini gris pero en la página solo venden el set completo. ¿Venden módulos individuales? Sería muy útil que en la web se pudieran armar configuraciones personalizadas módulo por módulo.,Solicitud de producto,3,Sofá Modular Mini Santorini Verdi Gris,"El feedback expresa una solicitud clara de compra de módulos individuales y una sugerencia de mejora en la web para personalizar configuraciones. No es un error ni queja, sino una petición de producto y funcionalidad, lo que corresponde a la categoría 'Solicitud de producto'. La severidad es media (3) porque no es crítica ni urgente, pero afecta la experiencia de compra. El producto afectado es el mencionado explícitamente. La cita textual es directa del texto. La confianza es alta porque el mensaje es inequívoco."
Cuna Evolutiva Rory Arena,"Bella la cuna y excelente calidad. Cuatro estrellas porque el manual de conversión a cama junior es confuso, tuvimos que buscar un video en YouTube de otra persona para entenderlo.",documentación,3,Cuna Evolutiva Rory Arena,"El feedback menciona explícitamente que el manual de conversión es confuso, lo que corresponde a un problema de documentación. La severidad es media (3) porque afecta la experiencia de uso pero no la seguridad ni funcionalidad básica. El producto afectado es claramente la Cuna Evolutiva Rory Arena. La cita textual es directa del texto. La confianza es alta porque la queja es clara y específica."
Mueble Auxiliar Sion Arena,Todo excelente con el mueble. Una idea: un programa de recompra o descuento por traer el mueble viejo. Tengo muebles que quiero renovar y no sé qué hacer con los antiguos. Iría con su discurso de sostenibilidad.,Sugerencia de mejora,1,Mueble Auxiliar Sion Arena,"El cliente expresa una sugerencia proactiva para implementar un programa de recompra o descuento al renovar muebles, alineado con la sostenibilidad. No reporta un problema o queja, sino una oportunidad de mejora. La severidad es baja (1) porque no afecta la experiencia actual del producto, que el cliente califica como excelente."
Sofa 2 Ptos Macarena Negro Idilio Crudo,"Señores Only Home, compré el sofá en la tienda física de la 140 y me dijeron que la entrega era en 5 días. Van 12 días. En la tienda me dicen que llame a la línea, en la línea que escriba al WhatsApp y aquí nadie contesta. ¿Quién responde?",Problema de entrega,4,Sofa 2 Ptos Macarena Negro Idilio Crudo,"El cliente reporta un retraso significativo en la entrega (12 días vs 5 prometidos) y falta de respuesta en todos los canales de atención, lo que indica un problema grave de logística y servicio al cliente. La severidad es alta (4) por el incumplimiento y la frustración del cliente."
Cama Mini Palermo Doble Roble Santana,"La cama Palermo en roble Santana superó las expectativas. Sólida, sin chirridos, y el tono de la madera es cálido y elegante. El armado tomó 40 minutos y quedó perfecta.",Positivo,0,Cama Mini Palermo Doble Roble Santana,"El feedback es completamente positivo, destacando la calidad, solidez, estética y facilidad de armado del producto. No hay quejas ni sugerencias de mejora, por lo que se clasifica como positivo con severidad 0 (sin problema)."
Silla Auxiliar Olive Calabria Marfil,"Buena compra. La silla es más bonita en persona que en fotos. Sugerencia: la lista de deseos de la web no se sincroniza entre el celular y el computador, perdí mi selección dos veces.",Experiencia de usuario,3,Silla Auxiliar Olive Calabria Marfil,"El feedback menciona un problema funcional con la sincronización de la lista de deseos entre dispositivos, lo cual afecta la experiencia del usuario en la web. Aunque el producto físico (silla) es bien valorado, el problema técnico es relevante y puede generar frustración, por lo que se clasifica como severidad 3 (media). La cita textual es clara y directa, y la confianza es alta porque el texto describe explícitamente el incidente."
Mesa De Terraza Olive Verde,"La mesa de terraza llegó con el vidrio/superficie flojo, se mueve al apoyar cualquier cosa. Revisé y parece que faltan dos soportes de caucho. ¿Me los pueden enviar o debo iniciar proceso de garantía? Pedido #OH-46102.",Calidad del producto,3,Mesa De Terraza Olive Verde,"El feedback describe un defecto de fabricación o montaje (superficie floja y falta de soportes de caucho) que afecta la funcionalidad del producto, lo que corresponde a la categoría 'Calidad del producto'. La severidad es 3 porque el problema impide el uso normal de la mesa pero no representa un riesgo de seguridad inmediato. El producto afectado se menciona explícitamente como 'Mesa De Terraza Olive Verde'. La cita textual es la frase clave que describe el problema. La confianza es alta (0.95) porque el texto es claro y directo sobre el defecto."
Combo Hogar Mérida Arena Ivory,"Compramos el combo Mérida para estrenar apartamento y fue la mejor decisión: todo combina, llegó en una sola entrega y el armado gratis nos ahorró horas. Gran relación calidad-precio comprando en combo.",experiencia_positiva,0,Combo Hogar Mérida Arena Ivory,"El feedback es una reseña positiva con calificación 5, destacando la combinación de productos, entrega única y armado gratis. No expresa queja ni problema, por lo que no corresponde a una categoría de reclamo o sugerencia. La severidad es 0 por ser una experiencia positiva."
Silla De Comedor Emilia Avellana Veracruz Crema,"Las sillas llegaron bien. Comentario sobre la web: el comparador de productos es confuso y no muestra las medidas lado a lado, que es justo lo que uno quiere comparar en sillas y mesas.",usabilidad_web,3,Silla De Comedor Emilia Avellana Veracruz Crema,"El feedback menciona explícitamente un problema de usabilidad en la web (comparador confuso, falta de visualización lado a lado de medidas), lo que corresponde a la categoría 'usabilidad_web'. La severidad es media (3) porque afecta la experiencia de comparación de productos, pero no impide la compra. El producto mencionado es la silla, aunque el problema es de la web. La cita textual es directa y la confianza es alta por la claridad del comentario."
Silla Reclinable Coral Houston beige,"Hola, compré la silla reclinable hace 8 días y hoy la veo con 10% adicional de descuento en la página. ¿Aplican ajuste de precio retroactivo? Me parece injusto, si hubiera esperado me ahorraba más de 300 mil pesos.",Ajuste de precio,3,Silla Reclinable Coral Houston beige,"El cliente solicita un ajuste de precio retroactivo por una compra reciente (8 días) debido a un descuento adicional del 10% aplicado posteriormente. La queja expresa insatisfacción por la diferencia de precio, lo que corresponde a la categoría de ajuste de precio. La severidad es media (3) porque afecta la percepción de justicia y confianza, pero no implica un defecto del producto ni un riesgo inmediato. El producto afectado es claramente la silla reclinable mencionada. La cita textual captura la solicitud y la queja del cliente. La confianza es alta porque el texto es explícito y directo."
Sofá 3 Ptos Olive Calabria Marfil,Experiencia 10/10. Desde la asesoría por WhatsApp hasta el armado todo fue impecable. Se nota el orgullo de ser fabricantes. El sofá Olive es el protagonista de mi sala. Seguiré comprando con ustedes.,Experiencia positiva,0,Sofá 3 Ptos Olive Calabria Marfil,"El feedback es completamente positivo, con una calificación NPS de 10 y elogios explícitos a la asesoría, armado y calidad del producto. No hay quejas ni problemas, por lo que la severidad es 0 (sin impacto negativo). La categoría es 'Experiencia positiva' porque resalta la satisfacción del cliente."
